model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,sixpence,1860,0.2652090693923451,0.14169490337371826,0.08373739665666832,60.00304738434106
macberth,sixpence,1870,0.26507858931360867,0.1428995430469513,0.08222521750488986,67.17886557097987
macberth,sixpence,1880,0.2643704395787042,0.14483998715877533,0.08760232508291382,77.56761450588606
macberth,sixpence,1890,0.26308788797012705,0.14569035172462463,0.09699950922755289,89.47062417375653
macberth,sixpence,1900,0.26352700769948445,0.14266431331634521,0.09715757469614748,99.44223996410213
macberth,sixpence,1910,0.262411905097877,0.1412142813205719,0.08313576577588934,102.40646022705336
macberth,sixpence,1920,0.26425984185749557,0.13642515242099762,0.04745495579585952,105.83422412339061
macberth,shilling,1250,0.278700987246585,0.09975948929786682,1.0,37.79041359120478
macberth,shilling,1260,0.27843357228542465,0.09897956252098083,0.9094611406366796,35.57530510343266
macberth,shilling,1270,0.27582718811179363,0.09799177944660187,0.7962349020308248,28.59186462915868
macberth,shilling,1280,0.27655406884898226,0.09806658327579498,0.7659322940528717,26.958759368032197
macberth,shilling,1290,0.27730233477358696,0.09821981191635132,0.7897110711917863,28.104208270289963
macberth,shilling,1300,0.27579357182524145,0.09734180569648743,0.7542916788700958,26.763773199955562
macberth,shilling,1310,0.2756332971629393,0.09676229953765869,0.6614840555804953,25.068637978387713
macberth,shilling,1320,0.27514520085333144,0.0964156985282898,0.6206927565540887,25.43241547174561
macberth,shilling,1330,0.2750205757393997,0.09677603840827942,0.7138577400686792,29.252746065101952
macberth,shilling,1340,0.27480375873836466,0.0964469462633133,0.8342194201763972,33.131349603067854
macberth,shilling,1350,0.27517437008238865,0.09553509205579758,0.718425150559168,38.226829788235676
macberth,shilling,1360,0.2739592095506307,0.09738575667142868,0.6542062553636363,44.093069613736205
macberth,shilling,1370,0.27390592561354987,0.09767398238182068,0.6015037721519632,45.39366016791913
macberth,shilling,1380,0.2749617096458814,0.09577859938144684,0.6970317592530034,54.12512317533032
macberth,shilling,1390,0.2742019704632025,0.09713650494813919,0.7570873301352409,57.20033674937185
macberth,shilling,1400,0.2750770805844887,0.0983562096953392,0.7329354268288505,58.156993522897146
macberth,shilling,1410,0.2768537359051937,0.09771664440631866,0.7069101278747706,58.75813275990294
macberth,shilling,1420,0.2764558331101742,0.09719294309616089,0.7307157575050623,61.16210748411963
macberth,shilling,1430,0.27496601169727175,0.09936866164207458,0.7320366771343666,63.37323186956899
macberth,shilling,1440,0.27551887364840066,0.09676944464445114,0.7141231496954459,64.53824045199266
macberth,shilling,1450,0.2770906592636225,0.09637531638145447,0.7685896045797157,69.5832042269643
macberth,shilling,1460,0.27771278873132205,0.09864763915538788,0.7558261127578118,66.95017137032416
macberth,shilling,1470,0.27769391555478407,0.09782812744379044,0.7624273523487529,66.6191172561408
macberth,shilling,1480,0.2781465056953851,0.09697110950946808,0.7154058643807953,62.45805345527764
macberth,shilling,1490,0.27767176023434004,0.09976011514663696,0.7158185437535453,62.009179998560384
macberth,shilling,1500,0.27518401542235615,0.10240590572357178,0.7281441036098597,62.18326006157476
macberth,shilling,1510,0.2757791767470982,0.10552172362804413,0.7189382345969891,60.14651786829997
macberth,shilling,1520,0.27636915720010624,0.1043795496225357,0.6461441916711493,54.76797473188103
macberth,shilling,1530,0.2772424927589701,0.10607470571994781,0.5751400616257254,48.32983420423
macberth,shilling,1540,0.2753948199996484,0.10468274354934692,0.5309720782927089,48.257446373013146
macberth,shilling,1550,0.2734584317493902,0.10203371942043304,0.3791282634704123,43.53833949482721
macberth,shilling,1560,0.2736054798232846,0.1042335256934166,0.31686378663507975,43.58663373642403
macberth,shilling,1570,0.2746964321496688,0.10527597367763519,0.29685528852591286,45.806589921776016
macberth,shilling,1580,0.2755239638502702,0.09933045506477356,0.259329273594164,41.913963675687306
macberth,shilling,1590,0.2758269611361641,0.1005333960056305,0.21804982475622126,37.24701355502289
macberth,shilling,1600,0.2755689584148588,0.106730155646801,0.19158151197338358,34.349456206452125
macberth,shilling,1610,0.27629136638175833,0.10725991427898407,0.17552153617442268,33.498276811377444
macberth,shilling,1620,0.2753227561126068,0.10290724039077759,0.16391442413853277,32.191610807937735
macberth,shilling,1630,0.27662483649946595,0.10567500442266464,0.15099171350180227,31.91848518411263
macberth,shilling,1640,0.27361685708374406,0.10933904349803925,0.1434938328308738,32.50152483020195
macberth,shilling,1650,0.27389014414006035,0.11203163862228394,0.13641261167903276,33.87178192292672
macberth,shilling,1660,0.2746488785740234,0.11388735473155975,0.13342206332827827,35.6508552384603
macberth,shilling,1670,0.2756298768765802,0.11280184984207153,0.1359529142544772,36.198186096800406
macberth,shilling,1680,0.2766395919477606,0.11825589835643768,0.14400864655485218,37.210408039950536
macberth,shilling,1690,0.2783601045177653,0.11806076020002365,0.1486654164069261,38.744192546010716
macberth,shilling,1700,0.27850387375174057,0.11760418862104416,0.14791280528994477,38.977209006946744
macberth,shilling,1710,0.27755360436566034,0.11718913167715073,0.15748785587238628,42.187754787446664
macberth,shilling,1720,0.2757588624281405,0.11656387895345688,0.1644993015105404,44.31799719512114
macberth,shilling,1730,0.27404567003305896,0.11613243818283081,0.17216414351640785,48.03544643286373
macberth,shilling,1740,0.27342534452200556,0.11434634029865265,0.17466834924028288,50.233123648760746
macberth,shilling,1750,0.2730540319818593,0.11675097048282623,0.16354714348341096,47.54318595522974
macberth,shilling,1760,0.27457031064961684,0.11713987588882446,0.1434915490398142,42.23256240835029
macberth,shilling,1770,0.2748790021194703,0.11594393104314804,0.12611208706214241,41.65563275038803
macberth,shilling,1780,0.27396644166546624,0.11877728253602982,0.12113108501155932,43.29710646648375
macberth,shilling,1790,0.27427571417779273,0.12466698884963989,0.1130622455358706,46.18645498456707
macberth,shilling,1800,0.2751059608224274,0.12701888382434845,0.08526197734198854,47.74247247999312
macberth,shilling,1810,0.2758281606003937,0.1253763884305954,0.07068269264203877,47.30899556344754
macberth,shilling,1820,0.2758584433296114,0.12779401242733002,0.0771242930978539,47.94951187114766
macberth,shilling,1830,0.27507284011549266,0.1279607117176056,0.09026461508176865,51.24513966269001
macberth,shilling,1840,0.27437552941106375,0.12710413336753845,0.09044074556599284,53.75027159446707
macberth,shilling,1850,0.2747217539894499,0.13029175996780396,0.09005326466534641,57.36873941186149
macberth,shilling,1860,0.2719959173470186,0.13473545014858246,0.08373739665666832,60.00304738434106
macberth,shilling,1870,0.27155017141247767,0.13560958206653595,0.08222521750488986,67.17886557097987
macberth,shilling,1880,0.2710658165301636,0.13794827461242676,0.08760232508291382,77.56761450588606
macberth,shilling,1890,0.26958035638617356,0.13967016339302063,0.09699950922755289,89.47062417375653
macberth,shilling,1900,0.26909380213853157,0.13746443390846252,0.09715757469614748,99.44223996410213
macberth,shilling,1910,0.2677846082948914,0.13649600744247437,0.08313576577588934,102.40646022705336
macberth,shilling,1920,0.26857214658847983,0.12924419343471527,0.04745495579585952,105.83422412339061
macberth,florin,1250,0.2808164237403779,0.0715862363576889,1.0,37.79041359120478
macberth,florin,1260,0.2801396207564628,0.0716128870844841,0.9094611406366796,35.57530510343266
macberth,florin,1270,0.27904416665147064,0.07044114172458649,0.7962349020308248,28.59186462915868
macberth,florin,1280,0.2796673244683253,0.07077573239803314,0.7659322940528717,26.958759368032197
macberth,florin,1290,0.2795212495088543,0.07194183766841888,0.7897110711917863,28.104208270289963
macberth,florin,1300,0.27872514819953437,0.07007265836000443,0.7542916788700958,26.763773199955562
macberth,florin,1310,0.2780468805825418,0.06892022490501404,0.6614840555804953,25.068637978387713
macberth,florin,1320,0.27774760470968834,0.06855663657188416,0.6206927565540887,25.43241547174561
macberth,florin,1330,0.27960291858922937,0.06909245252609253,0.7138577400686792,29.252746065101952
macberth,florin,1340,0.27974180956480316,0.06891025602817535,0.8342194201763972,33.131349603067854
macberth,florin,1350,0.2785048101044622,0.06715840101242065,0.718425150559168,38.226829788235676
macberth,florin,1360,0.27717977478004785,0.06758418679237366,0.6542062553636363,44.093069613736205
macberth,florin,1370,0.2780216985188939,0.06711544096469879,0.6015037721519632,45.39366016791913
macberth,florin,1380,0.2789104918854353,0.06696180254220963,0.6970317592530034,54.12512317533032
macberth,florin,1390,0.2776877470257092,0.07037302851676941,0.7570873301352409,57.20033674937185
macberth,florin,1400,0.2782504141657799,0.07159692049026489,0.7329354268288505,58.156993522897146
macberth,florin,1410,0.27970810085391656,0.06966586410999298,0.7069101278747706,58.75813275990294
macberth,florin,1420,0.2789971617811958,0.06889674067497253,0.7307157575050623,61.16210748411963
macberth,florin,1430,0.2778742703012466,0.07017765194177628,0.7320366771343666,63.37323186956899
macberth,florin,1440,0.2793481791399687,0.06866820156574249,0.7141231496954459,64.53824045199266
macberth,florin,1450,0.2810522025329266,0.06826482713222504,0.7685896045797157,69.5832042269643
macberth,florin,1460,0.28096565335558943,0.07001248002052307,0.7558261127578118,66.95017137032416
